STA_SEQ,Station_Na,YLat,XLong,MinOfNomin,CountOfNom,HydroID
14686,Blackberry River,42.0096,-73.2806,3,4,103003481
18935,Saugatuck River,41.23232,-73.3451,4,1,102002031
14443,Saugatuck River,41.2245,-73.3469,4,1,102001983
14153,Coginchaug River,41.5547,-72.6737,4,4,106002257
16202,Coginchaug River,41.5666,-72.6644,5,1,106002257
14464,Still River,41.4063,-73.4253,5,4,103014855
15171,East Branch Salmon Brook,41.955,-72.7794,3,1,105000678
14734,Yantic River,41.5766,-72.1918,3,2,108000330
14710,Shepaug River,41.683397,-73.298268,3,4,103010169
15151,Little River,41.912,-71.9163,3,2,109002461
16938,South Branch Park River,41.7339,-72.7117,5,1,106003069
14260,Jeremy River,41.5799,-72.4028,3,1,106002421
15309,Blackberry River,42.0156,-73.3147,3,1,103003441
15308,Blackberry River,42.0171,-73.3178,3,1,103003441
14278,Little River,41.6158,-72.0416,4,6,107000257
14459,Still River,41.929,-73.0584,4,2,105000579
16303,Moosup River,41.6977,-71.823,3,1,109003460
14687,Blackberry River,42.023955,-73.327636,4,1,103003408
15370,Saugatuck River,41.1927,-73.3617,4,1,102001562
14187,Eightmile River,41.4312,-72.3376,3,1,106001093
15020,Eightmile River,41.43,-72.3392,3,2,106001093
14174,East Branch Eightmile River,41.4309,-72.3375,3,3,106001093
14132,Blackberry River,42.0236,-73.341,3,3,103003368
14460,Still River,41.9476,-73.0487,4,1,105000647
15008,Moosup River,41.7172,-71.8422,4,1,109003347
14713,Still River,41.9503,-73.049,4,3,105000682
14288,Mattabesset River,41.6189,-72.7127,5,10,106002689
14383,Pequabuck River,41.6719,-72.8751,5,4,105001047
15006,Hockanum River,41.8078,-72.5204,4,2,106003290
14341,Naugatuck River,41.7891,-73.1145,5,5,103007276
14403,Pomperaug River,41.5491,-73.2165,3,1,103013283
14344,Naugatuck River,41.7806,-73.1175,5,1,103007426
14580,Willimantic River,41.9505,-72.3037,3,6,107003039
14581,Willimantic River,41.9423,-72.3058,4,8,107003039
14348,Naugatuck River,41.7631,-73.1173,5,3,103007994
14244,Hockanum River,41.7883,-72.5503,5,2,106003226
16071,Hockanum River,41.7874,-72.551,5,1,106003226
14393,Pequabuck River,41.7046,-72.8504,5,7,105001133
14371,Norwalk River,41.1267,-73.4295,5,1,102000705
16205,Norwalk River,41.1231,-73.425,5,1,102000705
16050,Naugatuck River,41.7485,-73.1129,5,1,103008462
14458,Still River,41.4389,-73.401,5,14,103015909
14205,Fivemile River,41.8451,-71.8912,4,1,109002789
14584,Roaring Brook,41.904,-72.2891,2,8,107002762
14237,Hockanum River,41.7859,-72.5569,5,1,106003227
15012,Pomperaug River,41.5218,-73.2061,3,1,103013863
16049,Naugatuck River,41.7412,-73.1148,5,1,103008686
14319,Naugatuck River,41.7361,-73.1054,5,5,103008815
15480,Naugatuck River,41.7347,-73.1051,5,2,103008893
14596,Pachaug River,41.604,-71.9852,5,1,109003928
14420,Quinnipiac River,41.5502,-72.8705,5,2,104000178
14435,Salmon Brook,41.9366,-72.7749,3,2,105001845
15993,Naugatuck River,41.7174,-73.0867,5,1,103009385
15221,Scantic River,41.982,-72.5407,3,2,106004040
14314,Natchaug River,41.8008,-72.1182,2,11,107001654
14235,Hockanum River,41.7822,-72.5912,5,6,106003191
14404,Pomperaug River,41.4717,-73.256,4,3,103015152
14445,Saugatuck River,41.1693,-73.367,4,5,102001263
14413,Quinnipiac River,41.528244,-72.856272,5,9,104000231
14586,Hop River,41.7212,-72.2548,3,2,107000860
14441,Salmon River,41.5742,-72.4294,2,10,106002389
14594,Moosup River,41.7148,-71.8931,3,2,109003390
14461,Sandy Brook (Still River),41.9685,-73.0331,3,4,105000727
15176,Natchaug River,41.7569,-72.1523,3,2,107001169
14735,Yantic River,41.5583,-72.112,3,3,108000479
16254,Shepaug River,41.6568,-73.318,3,2,103010896
14207,French River,42.0248,-71.8843,4,3,109001786
14421,Quinnipiac River,41.5185,-72.8258,6,1,104000241
14492,Willimantic River,41.8326,-72.3079,3,3,107002001
14825,Naugatuck River,41.6743,-73.0695,5,7,103010654
14422,Quinnipiac River,41.4912,-72.8174,5,2,104000288
14446,Scantic River,41.8941,-72.5723,4,3,106003642
14923,Naugatuck River,41.6596,-73.0779,5,1,103010874
14321,Naugatuck River,41.6497,-73.0774,5,7,103010788
18932,French River,41.963157,-71.89015,4,1,109002199
14206,French River,41.9548,-71.884,3,4,109002257
14414,Quinnipiac River,41.4501,-72.8407,5,13,104000393
14582,Willimantic River,41.7623,-72.2691,3,2,107001203
16258,West Branch Farmington River,41.9735,-73.0209,3,3,105000784
14450,Shepaug River,41.5489,-73.3308,3,22,103013315
14322,Naugatuck River,41.631,-73.0772,5,7,103011614
15792,West Branch Farmington River,41.9602,-73.0178,4,1,105002004
14316,Naugatuck River,41.6159,-73.0579,5,10,103011979
14323,Naugatuck River,41.5894,-73.0574,5,1,103012677
14324,Naugatuck River,41.5571,-73.0544,5,1,103013164
14329,Naugatuck River,41.5304,-73.0402,5,4,103013787
14331,Naugatuck River,41.5051,-73.0469,5,1,103014274
14330,Naugatuck River,41.5182,-73.0536,5,1,103014274
14715,Naugatuck River,41.514,-73.0539,5,1,103014274
14714,Naugatuck River,41.513,-73.0529,5,1,103014274
14471,Tenmile River,41.6664,-73.5119,3,3,103010673
14332,Naugatuck River,41.5002,-73.0503,5,6,103014383
15825,West Branch Farmington River,41.9168,-72.989,3,4,105001781
14334,Naugatuck River,41.4834,-73.0523,5,1,103014739
15794,West Branch Farmington River,41.8732,-72.9648,3,1,105001575
16239,West Branch Farmington River,41.878,-72.965,4,1,105001575
14317,Naugatuck River,41.4435,-73.0642,5,13,103015834
18931,Naugatuck River,41.411667,-73.07055,5,1,103016429
14379,Pawcatuck River,41.3978,-71.8422,3,3,110001498
14318,Naugatuck River,41.3387,-73.0806,5,5,103018067
14339,Naugatuck River,41.3189,-73.0818,5,1,103018203
15837,Farmington River,41.8395,-72.9346,4,1,105000242
14609,Quinebaug River,41.9081,-71.9096,4,3,109002496
14841,FARMINGTON RIVER,41.8257,-72.9295,3,2,105000209
14197,FARMINGTON RIVER,41.7508,-72.8717,3,4,105001208
14451,Shetucket River,41.7002,-72.1823,4,2,107000655
15892,Shetucket River,41.6175,-72.085,3,2,107000273
16304,Quinebaug River,41.7809,-71.901,3,2,109003033
16066,Farmington River,41.914,-72.765,4,3,105000529
16225,Farmington River,41.9015,-72.6708,5,2,105000461
14598,Quinebaug River,41.6022,-71.9868,4,4,109003929
14254,Housatonic River,41.8906,-73.3576,4,3,103004659
14251,Housatonic River,41.8806,-73.3654,4,3,103005156
16327,Housatonic River,41.8508,-73.3758,4,1,103005749
16065,Housatonic River,41.8148,-73.376,3,1,103006566
16076,Housatonic River,41.7673,-73.4379,4,1,103007804
15886,HOUSATONIC RIVER,41.6475,-73.4838,4,1,103010804
