STA_SEQ,Station_Na,YLat,XLong,BCG,CountOfNom,HydroID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
17816,INDIAN HUT BROOK,41.90276,-72.06398,3,1,107002745,2,2.908003,1.13155,0.0,0.0,3254.0,2111.0,0.0,0.64874001229,1.0,0.010196832809999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15001,Beach Brook,41.946000000000005,-72.8575,2,1,105001894,3,5.36,1.16,0.0,0.0,3568.0,224.0,0.0,0.06278026906,0.86206896552,0.009751938540000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15406,Little Brook,41.6424,-72.7207,4,2,106002759,1,1.91,1.17,0.0,0.0,3383.0,67504.0,0.0,19.9538870825,30.7692307692,0.05965526865,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
15315,Burnham Brook,41.4603,-72.3343,2,6,106001367,1,2.52,1.19,0.0,0.0,3435.0,432.0,0.0,0.12576419214,1.68067226891,0.014079828669999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
17852,Shady Oak School House Brook,41.89866,-71.80928,3,1,109002552,2,2.327379,1.202768,0.0,0.0,3462.0,2483.0,0.0,0.7172154823800001,7.037603671789999,0.029342470519999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16316,Jim Brook,41.8377,-72.8817,3,2,105001412,2,2.95,1.28,1.0,0.0,3762.0,2550.0,0.0,0.67783094099,1.5625,0.01482827976,0.0,0.0,0.0,0.0,0.33898305085,1.0,1.0,3.0,1.0,6.0,2.0
15303,Eagleville Brook,41.7991,-72.2738,3,1,107001644,2,2.724078,1.288669,0.0,0.0,3702.0,74833.0,3.0,20.2142085359,4.84743724636,0.02644326906,0.0,4.641,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16123,Muddy Brook,41.4756,-72.342,3,1,106001530,2,3.53,1.32,0.0,0.0,3872.0,1607.0,0.0,0.41503099174,0.0,0.00120861731,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16387,Hurricane Brook,42.033,-72.9207,2,3,105000877,2,3.81,1.328813,0.0,0.0,3888.0,575.0,0.0,0.1478909465,2.25765401151,0.018678186519999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
19021,Farm Brook,41.82225,-72.543615,5,1,106003364,2,2.45,1.33,0.0,3.46,3862.0,76096.0,0.0,19.7037804247,47.368421052600006,0.08661877561,5.3534111289999995,0.0,61.8042807863,0.0,0.0,3.0,3.0,1.0,1.0,8.0,2.0
16002,Pemberwick Brook,41.0274,-73.661,5,2,102000177,2,4.32,1.39,1.0,0.0,4101.0,13213.0,0.0,3.2218970982700004,0.17186681007,0.00539138676,0.0,0.0,0.0,0.0,0.23148148148000003,2.0,1.0,3.0,1.0,7.0,2.0
16341,Nod Brook,41.8286,-72.8667,3,1,105001382,3,3.23,1.41,0.0,0.0,4177.0,11886.0,0.0,2.8455829542699997,44.6808510638,0.09028863605000001,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
16326,Wharton Brook tributary to,41.4309,-72.8196,5,1,104000478,2,2.967988,1.420646,0.0,0.0,4102.0,89457.0,0.0,21.8081423696,11.9644161881,0.04692097767,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
